                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9904,                 3.3519,                 1.4645,                0.01518,                0.98857,                0.73082,                0.33642,                 1.6064,                 3.0699,                 1.0985,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.6681,                 1.6305,                 1.2029,                0.01447,                0.94286,                0.79788,                0.35877,                 1.6048,                 2.9439,                 1.0955,             0.00041792,             0.00041792,             0.00041792
                      3,                 1.5913,                 1.2865,                 1.2192,                0.01474,                   0.96,                 0.6689,                0.35254,                 1.4786,                 2.8872,                 1.1078,             0.00063366,             0.00063366,             0.00063366
                      4,                 1.5697,                 1.1419,                 1.2127,                0.01714,                   0.96,                0.79108,                0.44833,                 1.4506,                 2.7086,                 1.1375,             0.00084723,             0.00084723,             0.00084723
                      5,                 1.5767,                 1.1198,                 1.2323,                      1,                0.36831,                0.94663,                0.53784,                 1.4847,                  2.373,                 1.1554,              0.0010586,              0.0010586,              0.0010586
                      6,                 1.5416,                 1.0545,                 1.2345,                0.99297,                0.80707,                0.97109,                0.54398,                  1.471,                 1.9157,                  1.142,              0.0012678,              0.0012678,              0.0012678
                      7,                 1.5015,                0.97994,                 1.1969,                 0.9868,                0.93143,                0.98146,                0.53977,                 1.5445,                 1.5428,                 1.1834,              0.0014749,              0.0014749,              0.0014749
                      8,                 1.5747,                0.99133,                 1.2414,                0.93017,                0.91338,                0.94476,                0.49818,                 1.5364,                 1.3522,                 1.2056,              0.0016797,              0.0016797,              0.0016797
                      9,                 1.5096,                0.98617,                 1.2152,                0.94623,                0.90509,                0.95036,                  0.515,                 1.5736,                 1.2882,                  1.219,              0.0018824,              0.0018824,              0.0018824
                     10,                 1.4786,                0.93605,                 1.1801,                0.95485,                0.96687,                0.97217,                0.53389,                  1.534,                 1.0784,                  1.173,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.5441,                0.92213,                 1.2265,                0.95403,                0.94883,                0.98532,                0.51068,                 1.6881,                 1.0338,                 1.2752,               0.001901,               0.001901,               0.001901
                     12,                 1.5825,                0.93102,                 1.2471,                0.94778,                0.93336,                0.97654,                0.52778,                 1.5851,                0.91491,                 1.2038,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.5171,                0.88873,                 1.2248,                0.93669,                0.94857,                0.95785,                0.54175,                 1.5152,                0.86262,                 1.1798,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.4917,                0.83198,                 1.1814,                0.94996,                0.90286,                0.92509,                0.52068,                 1.5003,                0.96446,                 1.1506,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.4141,                0.81031,                 1.1622,                0.94303,                0.94596,                0.97128,                0.54672,                 1.5043,                0.79107,                 1.1674,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.4683,                0.81277,                 1.1887,                 0.9826,                0.96816,                0.98644,                0.55761,                  1.471,                0.76615,                 1.1869,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.4728,                 0.8179,                 1.1915,                0.98253,                0.96413,                  0.983,                0.58118,                 1.4331,                0.78436,                  1.162,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.4382,                0.79226,                 1.1759,                0.93919,                0.94286,                0.98098,                0.55192,                 1.5065,                0.76569,                 1.1979,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.4182,                0.75606,                 1.1606,                0.94513,                0.94857,                0.97855,                0.57536,                 1.4735,                0.73025,                 1.1653,              0.0018218,              0.0018218,              0.0018218
